,regime
1970-01-01 00:00:00.945999000,1
1970-01-01 00:00:00.946258200,1
1970-01-01 00:00:00.946344600,1
1970-01-01 00:00:00.946431000,1
1970-01-01 00:00:00.946517400,1
1970-01-01 00:00:00.946949400,1
1970-01-01 00:00:00.947035800,1
1970-01-01 00:00:00.947122200,1
1970-01-01 00:00:00.947208600,1
1970-01-01 00:00:00.947467800,1
1970-01-01 00:00:00.947554200,1
1970-01-01 00:00:00.947640600,1
1970-01-01 00:00:00.947727000,1
1970-01-01 00:00:00.947813400,1
1970-01-01 00:00:00.948072600,1
1970-01-01 00:00:00.948159000,1
1970-01-01 00:00:00.948245400,1
1970-01-01 00:00:00.948331800,1
1970-01-01 00:00:00.948418200,1
1970-01-01 00:00:00.948677400,1
1970-01-01 00:00:00.948763800,1
1970-01-01 00:00:00.948850200,1
1970-01-01 00:00:00.948936600,1
1970-01-01 00:00:00.949023000,1
1970-01-01 00:00:00.950491800,1
1970-01-01 00:00:00.950578200,1
1970-01-01 00:00:00.950664600,1
1970-01-01 00:00:00.950751000,1
1970-01-01 00:00:00.950837400,1
1970-01-01 00:00:00.951096600,1
1970-01-01 00:00:00.951183000,1
1970-01-01 00:00:00.951269400,1
1970-01-01 00:00:00.951355800,1
1970-01-01 00:00:00.951442200,1
1970-01-01 00:00:00.951701400,1
1970-01-01 00:00:00.951787800,1
1970-01-01 00:00:00.951874200,1
1970-01-01 00:00:00.951960600,1
